grupo,subgrupo,indicador,ano,valor
DADOS GERAIS,RENDA,PIB per capita,2013,20797.07
DADOS GERAIS,RENDA,PIB per capita,2014,23202.63
DADOS GERAIS,RENDA,PIB per capita,2015,23552.86
DADOS GERAIS,RENDA,PIB per capita,2016,23671.7
DADOS GERAIS,RENDA,PIB per capita,2017,25697.18
DADOS GERAIS,RENDA,PIB per capita,2018,27132.74
DADOS GERAIS,RENDA,PIB per capita,2019,28453.67
DADOS GERAIS,RENDA,PIB per capita,2020,30024.9
DADOS GERAIS,RENDA,PIB per capita,2021,34317.67
DADOS GERAIS,RENDA,PIB per capita,2022,0
DADOS GERAIS,RENDA,PIB a preços de 2022,2010,2122.408
DADOS GERAIS,RENDA,PIB a preços de 2022,2011,2380.677
DADOS GERAIS,RENDA,PIB a preços de 2022,2012,2297.992
DADOS GERAIS,RENDA,PIB a preços de 2022,2013,2282.281
DADOS GERAIS,RENDA,PIB a preços de 2022,2014,2387.153
DADOS GERAIS,RENDA,PIB a preços de 2022,2015,2275.524
DADOS GERAIS,RENDA,PIB a preços de 2022,2016,2137.287
DADOS GERAIS,RENDA,PIB a preços de 2022,2017,2259.877
DADOS GERAIS,RENDA,PIB a preços de 2022,2018,2299.295
DADOS GERAIS,RENDA,PIB a preços de 2022,2019,2336.302
DADOS GERAIS,RENDA,PIB a preços de 2022,2020,2336.529
DADOS GERAIS,RENDA,PIB a preços de 2022,2021,2384.838
DADOS GERAIS,RENDA,PIB a preços de 2022,2022,0
DADOS GERAIS,RENDA,PIB per capita a preços de 2022,2010,34617.65
DADOS GERAIS,RENDA,PIB per capita a preços de 2022,2011,38511.69
DADOS GERAIS,RENDA,PIB per capita a preços de 2022,2012,36881.17
DADOS GERAIS,RENDA,PIB per capita a preços de 2022,2013,35436.4
DADOS GERAIS,RENDA,PIB per capita a preços de 2022,2014,36674.65
DADOS GERAIS,RENDA,PIB per capita a preços de 2022,2015,34598.73
DADOS GERAIS,RENDA,PIB per capita a preços de 2022,2016,32167.72
DADOS GERAIS,RENDA,PIB per capita a preços de 2022,2017,33674.22
DADOS GERAIS,RENDA,PIB per capita a preços de 2022,2018,34024.31
DADOS GERAIS,RENDA,PIB per capita a preços de 2022,2019,34242.57
DADOS GERAIS,RENDA,PIB per capita a preços de 2022,2020,33928.13
DADOS GERAIS,RENDA,PIB per capita a preços de 2022,2021,34317.67
DADOS GERAIS,RENDA,PIB per capita a preços de 2022,2022,0
DADOS GERAIS,AREA,Área do município,2010,303.299
DADOS GERAIS,AREA,Área do município,2011,303.299
DADOS GERAIS,AREA,Área do município,2012,303.299
DADOS GERAIS,AREA,Área do município,2013,303.299
DADOS GERAIS,AREA,Área do município,2014,303.299
DADOS GERAIS,AREA,Área do município,2015,303.299
DADOS GERAIS,AREA,Área do município,2016,303.299
DADOS GERAIS,AREA,Área do município,2017,303.299
DADOS GERAIS,AREA,Área do município,2018,303.299
DADOS GERAIS,AREA,Área do município,2019,303.299
DADOS GERAIS,AREA,Área do município,2020,303.299
DADOS GERAIS,AREA,Área do município,2021,303.299
DADOS GERAIS,AREA,Área do município,2022,303.299
DADOS GERAIS,AREA,Densidade demográfica,2010,202.14
DADOS GERAIS,AREA,Densidade demográfica,2011,203.82
DADOS GERAIS,AREA,Densidade demográfica,2012,205.43
DADOS GERAIS,AREA,Densidade demográfica,2013,212.35
DADOS GERAIS,AREA,Densidade demográfica,2014,214.61
DADOS GERAIS,AREA,Densidade demográfica,2015,216.85
DADOS GERAIS,AREA,Densidade demográfica,2016,219.06
DADOS GERAIS,AREA,Densidade demográfica,2017,221.27
DADOS GERAIS,AREA,Densidade demográfica,2018,222.81
DADOS GERAIS,AREA,Densidade demográfica,2019,224.95
DADOS GERAIS,AREA,Densidade demográfica,2020,227.06
DADOS GERAIS,AREA,Densidade demográfica,2021,229.12
DADOS GERAIS,AREA,Densidade demográfica,2022,237.13
OPERAÇÕES DE SANEAMENTO,COBERTURA,Moradias com banheiro,2010,19724
OPERAÇÕES DE SANEAMENTO,COBERTURA,Moradias com banheiro,2011,20361
OPERAÇÕES DE SANEAMENTO,COBERTURA,Moradias com banheiro,2012,21019
OPERAÇÕES DE SANEAMENTO,COBERTURA,Moradias com banheiro,2013,21698
OPERAÇÕES DE SANEAMENTO,COBERTURA,Moradias com banheiro,2014,22383
OPERAÇÕES DE SANEAMENTO,COBERTURA,Moradias com banheiro,2015,23071
OPERAÇÕES DE SANEAMENTO,COBERTURA,Moradias com banheiro,2016,23780
OPERAÇÕES DE SANEAMENTO,COBERTURA,Moradias com banheiro,2017,24511
OPERAÇÕES DE SANEAMENTO,COBERTURA,Moradias com banheiro,2018,25265
OPERAÇÕES DE SANEAMENTO,COBERTURA,Moradias com banheiro,2019,26242
OPERAÇÕES DE SANEAMENTO,COBERTURA,Moradias com banheiro,2020,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Moradias com banheiro,2021,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Moradias com banheiro,2022,26741
OPERAÇÕES DE SANEAMENTO,COBERTURA,Moradias sem banheiro,2010,105
OPERAÇÕES DE SANEAMENTO,COBERTURA,Moradias sem banheiro,2011,78
OPERAÇÕES DE SANEAMENTO,COBERTURA,Moradias sem banheiro,2012,48
OPERAÇÕES DE SANEAMENTO,COBERTURA,Moradias sem banheiro,2013,17
OPERAÇÕES DE SANEAMENTO,COBERTURA,Moradias sem banheiro,2014,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Moradias sem banheiro,2015,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Moradias sem banheiro,2016,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Moradias sem banheiro,2017,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Moradias sem banheiro,2018,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Moradias sem banheiro,2019,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Moradias sem banheiro,2020,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Moradias sem banheiro,2021,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Moradias sem banheiro,2022,29
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela das moradias com banheiro,2010,99.5
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela das moradias com banheiro,2011,99.6
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela das moradias com banheiro,2012,99.8
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela das moradias com banheiro,2013,99.9
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela das moradias com banheiro,2014,100
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela das moradias com banheiro,2015,100
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela das moradias com banheiro,2016,100
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela das moradias com banheiro,2017,100
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela das moradias com banheiro,2018,100
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela das moradias com banheiro,2019,100
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela das moradias com banheiro,2020,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela das moradias com banheiro,2021,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela das moradias com banheiro,2022,99.89
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela das moradias sem banheiro,2010,0.5
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela das moradias sem banheiro,2011,0.4
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela das moradias sem banheiro,2012,0.2
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela das moradias sem banheiro,2013,0.1
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela das moradias sem banheiro,2014,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela das moradias sem banheiro,2015,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela das moradias sem banheiro,2016,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela das moradias sem banheiro,2017,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela das moradias sem banheiro,2018,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela das moradias sem banheiro,2019,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela das moradias sem banheiro,2020,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela das moradias sem banheiro,2021,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela das moradias sem banheiro,2022,0.11
OPERAÇÕES DE SANEAMENTO,COBERTURA,Recebimento regular de água,2010,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Recebimento regular de água,2011,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Recebimento regular de água,2012,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Recebimento regular de água,2013,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Recebimento regular de água,2014,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Recebimento regular de água,2015,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Recebimento regular de água,2016,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Recebimento regular de água,2017,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Recebimento regular de água,2018,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Recebimento regular de água,2019,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Recebimento regular de água,2020,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Recebimento regular de água,2021,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Recebimento regular de água,2022,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Recebimento irregular de água,2010,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Recebimento irregular de água,2011,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Recebimento irregular de água,2012,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Recebimento irregular de água,2013,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Recebimento irregular de água,2014,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Recebimento irregular de água,2015,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Recebimento irregular de água,2016,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Recebimento irregular de água,2017,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Recebimento irregular de água,2018,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Recebimento irregular de água,2019,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Recebimento irregular de água,2020,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Recebimento irregular de água,2021,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Recebimento irregular de água,2022,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela com recebimento regular de água,2010,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela com recebimento regular de água,2011,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela com recebimento regular de água,2012,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela com recebimento regular de água,2013,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela com recebimento regular de água,2014,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela com recebimento regular de água,2015,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela com recebimento regular de água,2016,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela com recebimento regular de água,2017,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela com recebimento regular de água,2018,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela com recebimento regular de água,2019,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela com recebimento regular de água,2020,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela com recebimento regular de água,2021,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela com recebimento regular de água,2022,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela com recebimento irregular de água,2010,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela com recebimento irregular de água,2011,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela com recebimento irregular de água,2012,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela com recebimento irregular de água,2013,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela com recebimento irregular de água,2014,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela com recebimento irregular de água,2015,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela com recebimento irregular de água,2016,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela com recebimento irregular de água,2017,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela com recebimento irregular de água,2018,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela com recebimento irregular de água,2019,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela com recebimento irregular de água,2020,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela com recebimento irregular de água,2021,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Parcela com recebimento irregular de água,2022,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população branca sem acesso à água,2010,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população branca sem acesso à água,2011,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população branca sem acesso à água,2012,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população branca sem acesso à água,2013,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população branca sem acesso à água,2014,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população branca sem acesso à água,2015,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população branca sem acesso à água,2016,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população branca sem acesso à água,2017,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população branca sem acesso à água,2018,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população branca sem acesso à água,2019,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população branca sem acesso à água,2020,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população branca sem acesso à água,2021,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população branca sem acesso à água,2022,30.8
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população preta sem acesso à água,2010,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população preta sem acesso à água,2011,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população preta sem acesso à água,2012,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população preta sem acesso à água,2013,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população preta sem acesso à água,2014,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população preta sem acesso à água,2015,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população preta sem acesso à água,2016,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população preta sem acesso à água,2017,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população preta sem acesso à água,2018,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população preta sem acesso à água,2019,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população preta sem acesso à água,2020,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população preta sem acesso à água,2021,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população preta sem acesso à água,2022,26.4
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população amarela sem acesso à água,2010,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população amarela sem acesso à água,2011,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população amarela sem acesso à água,2012,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população amarela sem acesso à água,2013,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população amarela sem acesso à água,2014,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população amarela sem acesso à água,2015,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população amarela sem acesso à água,2016,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população amarela sem acesso à água,2017,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população amarela sem acesso à água,2018,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população amarela sem acesso à água,2019,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população amarela sem acesso à água,2020,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população amarela sem acesso à água,2021,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população amarela sem acesso à água,2022,6.8
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população parda sem acesso à água,2010,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população parda sem acesso à água,2011,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população parda sem acesso à água,2012,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população parda sem acesso à água,2013,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população parda sem acesso à água,2014,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população parda sem acesso à água,2015,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população parda sem acesso à água,2016,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população parda sem acesso à água,2017,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população parda sem acesso à água,2018,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população parda sem acesso à água,2019,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população parda sem acesso à água,2020,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população parda sem acesso à água,2021,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população parda sem acesso à água,2022,30.2
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população indígena sem acesso à água,2010,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população indígena sem acesso à água,2011,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população indígena sem acesso à água,2012,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população indígena sem acesso à água,2013,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população indígena sem acesso à água,2014,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população indígena sem acesso à água,2015,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população indígena sem acesso à água,2016,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população indígena sem acesso à água,2017,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população indígena sem acesso à água,2018,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população indígena sem acesso à água,2019,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população indígena sem acesso à água,2020,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população indígena sem acesso à água,2021,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população indígena sem acesso à água,2022,25.6
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população branca sem acesso regular à água,2010,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população branca sem acesso regular à água,2011,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população branca sem acesso regular à água,2012,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população branca sem acesso regular à água,2013,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população branca sem acesso regular à água,2014,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população branca sem acesso regular à água,2015,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população branca sem acesso regular à água,2016,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população branca sem acesso regular à água,2017,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população branca sem acesso regular à água,2018,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população branca sem acesso regular à água,2019,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população branca sem acesso regular à água,2020,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população branca sem acesso regular à água,2021,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população branca sem acesso regular à água,2022,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população preta sem acesso regular à água,2010,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população preta sem acesso regular à água,2011,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população preta sem acesso regular à água,2012,0
OPERAÇÕES DE SANEAMENTO,COBERTURA,Percentagem da população preta sem acesso regular à água,2013,0
